dataset,method,trial,seed,n_features,n_neurons,n_output_heads,accuracy,f1,final_mse,gate_confidence,representability,converged,iterations,reason,total_time_s,gate_counts
spambase,DLM,15042,15042,57,513,57,0.635869562625885,0.06162464985994398,0.21727201342582703,0.9396200776100159,1.0,False,1554,stagnation_p2,34.19384691900086,"{'ANEG': 47, 'RIMP': 29, 'NDISJ': 43, 'NEGB': 53, 'PRJA': 65, 'DISJ': 62, 'CONJ': 33, 'BNEG': 35, 'PRJB': 45, 'IMP': 28, 'NEGA': 48, 'NCONJ': 25}"
spambase,DLM,16042,16042,57,513,57,0.6282608509063721,0.022857142857142857,0.2101690024137497,0.9868618845939636,1.0,False,1639,stagnation_p2,35.45284665899999,"{'IMP': 37, 'NDISJ': 55, 'BNEG': 35, 'ANEG': 26, 'PRJA': 49, 'DISJ': 49, 'NEGA': 46, 'PRJB': 58, 'NCONJ': 28, 'CONJ': 31, 'RIMP': 33, 'NEGB': 66}"
spambase,DLM,17042,17042,57,513,57,0.622826099395752,0.011396011396011397,0.21582207083702087,0.9999997019767761,1.0,False,1385,stagnation_p2,29.91438145400025,"{'DISJ': 45, 'PRJA': 60, 'NDISJ': 37, 'NCONJ': 22, 'CONJ': 30, 'NEGB': 59, 'BNEG': 36, 'ANEG': 26, 'NEGA': 59, 'IMP': 44, 'RIMP': 26, 'PRJB': 69}"
spambase,DLM,18042,18042,57,513,57,0.633695662021637,0.07671232876712329,0.20656718313694,0.9705989360809326,1.0,False,1602,stagnation_p2,34.388367338000535,"{'NEGB': 63, 'DISJ': 51, 'RIMP': 37, 'NDISJ': 55, 'PRJB': 56, 'PRJA': 51, 'BNEG': 32, 'IMP': 37, 'NCONJ': 22, 'ANEG': 31, 'NEGA': 54, 'CONJ': 24}"
spambase,DLM,19042,19042,57,513,57,0.643478274345398,0.11351351351351352,0.2087971717119217,1.0,1.0,False,2000,max_iter,43.2931216270008,"{'PRJB': 51, 'NDISJ': 52, 'NCONJ': 32, 'DISJ': 54, 'RIMP': 34, 'CONJ': 28, 'IMP': 33, 'NEGB': 44, 'BNEG': 27, 'ANEG': 35, 'NEGA': 52, 'PRJA': 71}"
spambase,DLM,20042,20042,57,513,57,0.6304348111152649,0.03409090909090909,0.21382194757461548,0.9785853028297424,1.0,False,1628,stagnation_p2,36.49791079500028,"{'NEGA': 42, 'PRJB': 64, 'ANEG': 35, 'IMP': 28, 'NCONJ': 36, 'NEGB': 53, 'NDISJ': 55, 'PRJA': 58, 'BNEG': 28, 'DISJ': 53, 'RIMP': 33, 'CONJ': 28}"
spambase,DLM,21042,21042,57,513,57,0.634782612323761,0.0718232044198895,0.21104736626148224,0.9522679448127747,1.0,False,1571,stagnation_p2,34.20184118900033,"{'ANEG': 28, 'BNEG': 36, 'NDISJ': 49, 'PRJB': 66, 'RIMP': 43, 'NEGA': 54, 'DISJ': 57, 'CONJ': 32, 'PRJA': 43, 'NCONJ': 19, 'NEGB': 52, 'IMP': 34}"
spambase,DLM,22042,22042,57,513,57,0.6282608509063721,0.022857142857142857,0.21546687185764313,0.983478844165802,1.0,False,1201,stagnation_p2,27.13327741000103,"{'NEGA': 54, 'IMP': 38, 'NCONJ': 42, 'ANEG': 31, 'DISJ': 41, 'PRJB': 56, 'NDISJ': 30, 'RIMP': 34, 'PRJA': 75, 'CONJ': 28, 'BNEG': 36, 'NEGB': 48}"
spambase,DLM,23042,23042,57,513,57,0.6315217614173889,0.039660056657223795,0.2094831019639969,0.9997923970222473,1.0,False,1900,stagnation_p2,41.196594277998884,"{'IMP': 22, 'DISJ': 51, 'PRJB': 50, 'BNEG': 31, 'NDISJ': 65, 'ANEG': 27, 'CONJ': 31, 'RIMP': 43, 'NEGB': 56, 'NEGA': 50, 'PRJA': 54, 'NCONJ': 33}"
spambase,DLM,24042,24042,57,513,57,0.627173900604248,0.0392156862745098,0.21090194582939148,0.9395801424980164,1.0,False,1548,stagnation_p2,33.293368260001444,"{'RIMP': 33, 'NDISJ': 55, 'NEGA': 50, 'NEGB': 59, 'DISJ': 58, 'PRJB': 52, 'CONJ': 31, 'IMP': 28, 'PRJA': 56, 'ANEG': 40, 'NCONJ': 23, 'BNEG': 28}"
spambase,DLM,25042,25042,57,513,57,0.626086950302124,0.011494252873563218,0.21824586391448975,0.964458167552948,1.0,False,1051,stagnation_p2,22.046746709000217,"{'PRJB': 68, 'NEGB': 63, 'PRJA': 56, 'NCONJ': 34, 'IMP': 30, 'DISJ': 42, 'ANEG': 33, 'NDISJ': 46, 'NEGA': 38, 'CONJ': 34, 'BNEG': 45, 'RIMP': 24}"
spambase,DLM,26042,26042,57,513,57,0.623913049697876,0.0,0.2229156345129013,0.5335109829902649,1.0,False,1261,stagnation_p2,27.75811168099972,"{'RIMP': 35, 'NCONJ': 24, 'NDISJ': 55, 'PRJB': 43, 'IMP': 31, 'NEGA': 72, 'NEGB': 52, 'DISJ': 54, 'PRJA': 51, 'BNEG': 30, 'ANEG': 31, 'CONJ': 35}"
spambase,DLM,27042,27042,57,513,57,0.626086950302124,0.011494252873563218,0.21434049308300018,0.9905107617378235,1.0,False,1751,stagnation_p2,37.95954723900104,"{'ANEG': 31, 'NDISJ': 54, 'PRJB': 45, 'DISJ': 55, 'NEGA': 56, 'CONJ': 34, 'BNEG': 35, 'NEGB': 55, 'PRJA': 57, 'NCONJ': 37, 'RIMP': 26, 'IMP': 28}"
spambase,DLM,28042,28042,57,513,57,0.6293478012084961,0.0339943342776204,0.2164822369813919,0.9849572777748108,1.0,False,1133,stagnation_p2,25.39931020199947,"{'NEGB': 59, 'NCONJ': 33, 'PRJB': 57, 'ANEG': 41, 'BNEG': 35, 'NEGA': 63, 'IMP': 36, 'NDISJ': 46, 'DISJ': 43, 'PRJA': 50, 'RIMP': 29, 'CONJ': 21}"
spambase,DLM,29042,29042,57,513,57,0.6304348111152649,0.05027932960893855,0.2147347778081894,0.999640166759491,1.0,False,1396,stagnation_p2,30.973912515999473,"{'RIMP': 43, 'ANEG': 34, 'NEGB': 58, 'IMP': 32, 'NEGA': 40, 'DISJ': 31, 'PRJB': 74, 'NCONJ': 33, 'BNEG': 43, 'NDISJ': 37, 'PRJA': 57, 'CONJ': 31}"
