dataset,variant,seed,f1,acc,dn_post,converged,iterations,final_mse,time_s,reason
monk,ProximalGroupLasso,127,0.0,0.5,0.0,False,152,0.459677,0.22,stagnation
monk,ProximalGroupLasso,144,0.0,0.5,0.0,False,157,0.459677,0.23,stagnation
monk,ProximalGroupLasso,161,0.0,0.5,0.0,False,180,0.459677,0.27,stagnation
monk,ProximalGroupLasso,178,0.0,0.5,0.0,False,173,0.459677,0.25,stagnation
monk,ProximalGroupLasso,195,0.0,0.5,0.0,False,174,0.459677,0.25,stagnation
monk,ProximalGroupLasso,212,0.0,0.5,0.0,False,170,0.459677,0.25,stagnation
monk,ProximalGroupLasso,229,0.0,0.5,0.0,False,170,0.459677,0.25,stagnation
monk,ProximalGroupLasso,246,0.0,0.5,0.0,False,164,0.459677,0.25,stagnation
monk,ProximalGroupLasso,263,0.0,0.5,0.0,False,162,0.459677,0.24,stagnation
monk,ProximalGroupLasso,280,0.0,0.5,0.0,False,180,0.459677,0.26,stagnation
monk,ProximalGroupLasso,297,0.0,0.5,0.0,False,163,0.459677,0.24,stagnation
monk,ProximalGroupLasso,314,0.0,0.5,0.0,False,185,0.459677,0.27,stagnation
monk,ProximalGroupLasso,331,0.0,0.5,0.0,False,162,0.459677,0.24,stagnation
monk,ProximalGroupLasso,348,0.0,0.5,0.0,False,178,0.459677,0.26,stagnation
monk,ProximalGroupLasso,365,0.0,0.5,0.0,False,152,0.459677,0.23,stagnation
monk,ProximalGroupLasso,382,0.0,0.5,0.0,False,177,0.459677,0.26,stagnation
monk,ProximalGroupLasso,399,0.0,0.5,0.0,False,154,0.459677,0.23,stagnation
monk,ProximalGroupLasso,416,0.0,0.5,0.0,False,175,0.459677,0.26,stagnation
monk,ProximalGroupLasso,433,0.0,0.5,0.0,False,253,0.459677,0.36,stagnation
monk,ProximalGroupLasso,450,0.0,0.5,0.0,False,167,0.459677,0.24,stagnation
monk,ProximalGroupLasso,467,0.0,0.5,0.0,False,181,0.459677,0.26,stagnation
monk,ProximalGroupLasso,484,0.0,0.5,0.0,False,172,0.459677,0.25,stagnation
monk,ProximalGroupLasso,501,0.0,0.5,0.0,False,190,0.459677,0.28,stagnation
monk,ProximalGroupLasso,518,0.0,0.5,0.0,False,175,0.459677,0.25,stagnation
monk,ProximalGroupLasso,535,0.0,0.5,0.0,False,199,0.459677,0.29,stagnation
monk,ProximalL0,42,0.0,0.5,0.0,False,371,0.459677,1.0,stagnation
monk,ProximalL0,59,0.0,0.5,0.0,False,379,0.459677,1.02,stagnation
monk,ProximalL0,76,0.0,0.5,0.0,False,378,0.459677,1.02,stagnation
monk,ProximalL0,93,0.0,0.5,0.0,False,386,0.459677,1.04,stagnation
monk,ProximalL0,110,0.0,0.5,0.0,False,373,0.459677,1.01,stagnation
monk,ProximalL0,127,0.0,0.5,0.0,False,373,0.459677,1.02,stagnation
monk,ProximalL0,144,0.0,0.5,0.0,False,395,0.459677,1.05,stagnation
monk,ProximalL0,161,0.0,0.5,0.0,False,380,0.459677,1.03,stagnation
monk,ProximalL0,178,0.0,0.5,0.0,False,383,0.459677,1.03,stagnation
monk,ProximalL0,195,0.0,0.5,0.0,False,377,0.459677,1.01,stagnation
monk,ProximalL0,212,0.0,0.5,0.0,False,374,0.459677,1.01,stagnation
monk,ProximalL0,229,0.0,0.5,0.0,False,373,0.459677,1.01,stagnation
monk,ProximalL0,246,0.0,0.5,0.0,False,384,0.459677,1.04,stagnation
monk,ProximalL0,263,0.0,0.5,0.0,False,371,0.459677,1.01,stagnation
monk,ProximalL0,280,0.0,0.5,0.0,False,371,0.459677,1.01,stagnation
monk,ProximalL0,297,0.0,0.5,0.0,False,379,0.459677,1.02,stagnation
monk,ProximalL0,314,0.0,0.5,0.0,False,423,0.459677,1.11,stagnation
monk,ProximalL0,331,0.0,0.5,0.0,False,368,0.459677,1.01,stagnation
monk,ProximalL0,348,0.0,0.5,0.0,False,375,0.459677,1.01,stagnation
monk,ProximalL0,365,0.0,0.5,0.0,False,376,0.459677,1.01,stagnation
monk,ProximalL0,382,0.0,0.5,0.0,False,378,0.459677,1.02,stagnation
monk,ProximalL0,399,0.0,0.5,0.0,False,376,0.459677,1.01,stagnation
monk,ProximalL0,416,0.0,0.5,0.0,False,377,0.459677,1.02,stagnation
monk,ProximalL0,433,0.0,0.5,0.0,False,429,0.459677,1.12,stagnation
monk,ProximalL0,450,0.0,0.5,0.0,False,371,0.459677,1.01,stagnation
monk,ProximalL0,467,0.0,0.5,0.0,False,377,0.459677,1.01,stagnation
monk,ProximalL0,484,0.0,0.5,0.0,False,378,0.459677,1.02,stagnation
monk,ProximalL0,501,0.0,0.5,0.0,False,373,0.459677,1.02,stagnation
monk,ProximalL0,518,0.0,0.5,0.0,False,379,0.459677,1.02,stagnation
monk,ProximalL0,535,0.0,0.5,0.0,False,380,0.459677,1.02,stagnation
