dataset,variant,seed,f1,acc,dn_post,bf_pre,converged,iterations,final_mse,time_s,reason
mushroom,STE_reg,484,0.0,0.6602,0.0,0.4304,False,54,0.341577,9.39,stagnation
mushroom,STE_reg,501,0.0164,0.6594,0.0,0.423,False,53,0.341045,8.13,stagnation
mushroom,STE_reg,518,0.0095,0.6618,0.0,0.4313,False,56,0.340488,13.61,stagnation
mushroom,STE_reg,535,0.2578,0.7105,0.0,0.1973,False,123,0.290391,59.81,stagnation
mushroom,STE_dual,42,0.0326,0.663,0.0,0.4333,False,55,0.340133,15.41,stagnation
mushroom,STE_dual,59,0.0,0.6598,0.0,0.4296,False,56,0.341577,13.23,stagnation
mushroom,STE_dual,76,0.0211,0.661,0.0,0.4345,False,58,0.338866,23.24,stagnation
mushroom,STE_dual,93,0.0348,0.663,0.0,0.432,False,62,0.337751,20.4,stagnation
mushroom,STE_dual,110,0.0,0.6602,0.0,0.4282,False,74,0.341577,31.19,stagnation
mushroom,STE_dual,127,0.0,0.6602,0.0,0.0264,False,177,0.341577,72.67,stagnation
mushroom,STE_dual,144,0.3406,0.7299,0.0,0.0218,False,200,0.272248,38.67,stagnation
mushroom,STE_dual,161,0.0233,0.6602,0.0,0.4286,False,54,0.338486,4.26,stagnation
mushroom,STE_dual,178,0.0,0.6602,0.0,0.1946,False,120,0.341577,44.39,stagnation
mushroom,STE_dual,195,0.0,0.6602,0.0,0.435,False,57,0.341476,24.75,stagnation
mushroom,STE_dual,212,0.5073,0.3398,0.0,0.0206,False,181,0.658423,73.22,stagnation
mushroom,STE_dual,229,0.0629,0.6618,0.0,0.4351,False,56,0.339398,28.36,stagnation
mushroom,STE_dual,246,0.0869,0.5568,0.0,0.0438,False,177,0.358783,68.12,stagnation
mushroom,STE_dual,263,0.0071,0.6598,0.0,0.4335,False,54,0.341222,3.1,stagnation
mushroom,STE_dual,280,0.0142,0.6626,0.0,0.2689,False,110,0.340361,4.28,stagnation
mushroom,STE_dual,297,0.0,0.6602,0.0,0.024,False,159,0.341577,9.62,stagnation
mushroom,STE_dual,314,0.0071,0.6577,0.0,0.4345,False,63,0.341324,2.07,stagnation
mushroom,STE_dual,331,0.0211,0.6614,0.0,0.4325,False,56,0.340006,2.27,stagnation
mushroom,STE_dual,348,0.0024,0.6606,0.0,0.3876,False,95,0.340868,4.03,stagnation
mushroom,STE_dual,365,0.0209,0.6586,0.0,0.4204,False,54,0.33803,2.13,stagnation
mushroom,STE_dual,382,0.0,0.6602,0.0,0.4291,False,59,0.341476,2.1,stagnation
mushroom,STE_dual,399,0.014,0.6582,0.0,0.4289,False,54,0.341121,1.85,stagnation
mushroom,STE_dual,416,0.0742,0.6663,0.0,0.4284,False,53,0.333747,1.67,stagnation
mushroom,STE_dual,433,0.0142,0.6614,0.0,0.4301,False,54,0.340462,2.16,stagnation
mushroom,STE_dual,450,0.0692,0.6618,0.0,0.431,False,55,0.336205,1.59,stagnation
mushroom,STE_dual,467,0.0,0.6602,0.0,0.0452,False,158,0.341577,8.23,stagnation
mushroom,STE_dual,484,0.0,0.6602,0.0,0.4304,False,54,0.341577,2.44,stagnation
mushroom,STE_dual,501,0.0164,0.6594,0.0,0.423,False,53,0.341045,1.6,stagnation
mushroom,STE_dual,518,0.0095,0.6618,0.0,0.4313,False,56,0.340488,2.63,stagnation
mushroom,STE_dual,535,0.2578,0.7105,0.0,0.1973,False,123,0.290391,4.93,stagnation
mushroom,STE_hybrid,42,0.0,0.6602,0.0,0.2345,False,174,0.341577,7.48,max_iter
mushroom,STE_hybrid,59,0.0,0.6602,0.0,0.4334,False,109,0.341577,3.68,p2_stagnation
mushroom,STE_hybrid,76,0.0189,0.6634,0.0,0.2386,False,177,0.338739,5.84,max_iter
mushroom,STE_hybrid,93,0.0,0.6602,0.0,0.3387,False,154,0.341577,4.94,p2_stagnation
mushroom,STE_hybrid,110,0.0,0.6602,0.0,0.3603,False,147,0.341374,4.71,p2_stagnation
mushroom,STE_hybrid,127,0.5065,0.7376,0.0,0.4402,False,143,0.245059,4.45,p2_stagnation
mushroom,STE_hybrid,144,0.5814,0.7092,0.0,0.4358,False,136,0.28583,3.9,p2_stagnation
mushroom,STE_hybrid,161,0.0,0.6602,0.0,0.2357,False,174,0.341577,6.34,max_iter
mushroom,STE_hybrid,178,0.5159,0.7214,0.0,0.4325,False,142,0.26495,4.36,p2_stagnation
mushroom,STE_hybrid,195,0.0,0.6602,0.0,0.4336,False,108,0.341577,2.99,p2_stagnation
mushroom,STE_hybrid,212,0.1481,0.6363,0.0,0.4422,False,113,0.358833,3.35,p2_stagnation
